Filename,Participant,Label
200126_2142_00-13-04.06--00-13-04.324.wav,P01,dysregulation-sick
200126_2142_00-06-41.54--00-06-42.47.wav,P01,dysregulation-sick
200126_2142_00-11-35.94--00-11-37.08.wav,P01,dysregulation-sick
200126_2142_00-12-11.66--00-12-15.31.wav,P01,dysregulation-sick
200126_2142_00-00-24.55--00-00-24.95.wav,P01,dysregulation-sick
200126_2142_00-15-39.87--00-15-41.15.wav,P01,dysregulation-sick
200126_2142_00-10-30.85--00-10-31.32.wav,P01,dysregulation-sick
200126_2142_00-21-53.48--00-21-54.45.wav,P01,dysregulation-sick
200126_2142_00-15-34.15--00-15-34.63.wav,P01,dysregulation-sick
200126_2142_00-12-59.47--00-13-01.629.wav,P01,dysregulation-sick
200126_2142_00-01-20.27--00-01-21.83.wav,P01,dysregulation-sick
200126_2142_00-06-44.1--00-06-45.66.wav,P01,dysregulation-sick
200126_2142_00-17-59.49--00-18-00.152.wav,P01,dysregulation-sick
200126_2142_00-21-49.18--00-21-50.19.wav,P01,dysregulation-sick
200126_2142_00-12-02.785--00-12-03.469.wav,P01,dysregulation-sick
200126_2142_00-17-54.82--00-17-56.33.wav,P01,dysregulation-sick
200126_2142_00-12-50.42--00-12-52.18.wav,P01,dysregulation-sick
200126_2142_00-02-11.01--00-02-15.74.wav,P01,dysregulation-sick
200126_2142_00-04-51.61--00-04-52.89.wav,P01,dysregulation-sick
200126_2142_00-04-16.05--00-04-18.31.wav,P01,dysregulation-sick
200126_2142_00-08-44.05--00-08-44.6.wav,P01,dysregulation-sick
200126_2142_00-10-02.358--00-10-02.678.wav,P01,dysregulation-sick
200126_2142_00-12-53.68--00-12-55.63.wav,P01,dysregulation-sick
200126_2142_00-06-27.24--00-06-28.42.wav,P01,dysregulation-sick
200126_2142_00-04-23.23--00-04-24.56.wav,P01,dysregulation-sick
200126_2142_00-15-53.56--00-15-54.85.wav,P01,dysregulation-sick
200126_2142_00-02-34.93--00-02-35.47.wav,P01,dysregulation-sick
200126_2142_00-13-29.96--00-13-31.44.wav,P01,dysregulation-sick
200126_2142_00-06-32.15--00-06-33.16.wav,P01,dysregulation-sick
